mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
metacog,0.9298245614035088,0.9047619047619048,0.9210526315789473,0.8535639569308375,0.9047619047619048,0.9,0.32420614859132296,0.9799090550488756,5,3,3,52743.9341545105,1.508474349975586,breast_cancer,4,0.15,0.01,0.3
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8462732919254659,0.5539805097451275,0.35224414805819054,0.8131964404977765,7,4,4,12265.905618667603,5.206108093261719,adult,0,0.15,0.01,0.3
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.7637634105025409,0.46100790513833995,0.4402523890379214,0.8766580354991211,7,4,4,14675.14681816101,9.325504302978516,adult,1,0.15,0.01,0.3
metacog,0.8,0.5652173913043478,0.5579133510167993,0.32177789389368455,0.7644692264257482,0.47446754883427855,0.2522914703619224,0.9079405356615389,11,6,5,16199.899911880493,10.569572448730469,adult,2,0.15,0.01,0.3
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.5760869565217391,0.3471739130434783,0.5289958634037956,0.9989156713474379,3,2,2,7375.763893127441,4.8122406005859375,adult,3,0.15,0.01,0.3
metacog,0.795,0.5543478260869565,0.5392999606719479,0.29298753307495307,0.5543478260869565,0.31369565217391304,0.5123123594125598,1.0,3,2,2,6882.046699523926,5.028724670410156,adult,4,0.15,0.01,0.3
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9973710865078222,1,1,1,247.79510498046875,0.36406517028808594,iris,0,0.15,0.01,0.4
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9970757773947009,1,1,1,257.29990005493164,0.38242340087890625,iris,1,0.15,0.01,0.4
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9977269338811082,1,1,1,247.1904754638672,0.37550926208496094,iris,2,0.15,0.01,0.4
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9961780853484691,1,1,1,271.00181579589844,0.3662109375,iris,3,0.15,0.01,0.4
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,0.8413882683090157,0.9971051500737994,1,1,1,271.96311950683594,0.3521442413330078,iris,4,0.15,0.01,0.4
metacog,1.0,1.0,1.0,1.0,1.0,,0.2850215115593363,0.9703851012969208,7,4,3,6081.742763519287,0.5764961242675781,wine,0,0.15,0.01,0.4
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,7,4,4,7079.267501831055,1.0042190551757812,wine,1,0.15,0.01,0.4
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,3982.1057319641113,0.7371902465820312,wine,2,0.15,0.01,0.4
metacog,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5995445191824106,0.8387445887445887,,0.28708262043670824,0.9870125191045439,5,3,3,3995.553731918335,1.1816024780273438,wine,3,0.15,0.01,0.4
metacog,0.3888888888888889,0.3333333333333333,0.18666666666666668,0.0,0.5,,0.06047926749204607,0.8796421389376234,1,1,1,1925.7049560546875,0.5877017974853516,wine,4,0.15,0.01,0.4
